timestamp,on_off,damper,active_energy,co2_1,ambient_humidity,active_power,power_generated,high_pressure_1,high_pressure_2,low_pressure_1,low_pressure_2,high_pressure_3,low_pressure_3,outside_temp,outlet_temp,inlet_temp,summer_SP_temp,winter_SP_temp,ambient_temp
2022-06-01 00:00:00,0.0,0.0,762617.8,975.0,35.0,0.51,4.0,15.09,15.0,15.27,15.1,15.2,15.2,23.9,24.3,22.9,22.5,18.0,23.4
2022-06-01 00:05:00,0.0,0.0,,977.0,35.0,0.51,,15.03,14.9,15.21,15.0,15.2,15.1,23.8,24.3,22.8,22.5,18.0,23.3
2022-06-01 00:10:00,0.0,0.0,,975.0,35.0,0.51,,15.03,14.8,15.15,15.0,15.1,15.1,23.6,24.2,22.6,22.5,18.0,23.4
2022-06-01 00:15:00,0.0,0.0,762617.99,975.0,35.0,0.51,4.0,14.96,14.8,15.15,14.9,15.1,15.0,23.6,24.0,22.4,22.5,18.0,23.3
2022-06-01 00:20:00,0.0,0.0,,975.0,35.0,0.51,,14.9,14.7,15.09,14.9,15.0,14.9,23.4,24.0,22.3,22.5,18.0,23.3
2022-06-01 00:25:00,0.0,0.0,,977.0,35.0,0.51,,14.9,14.7,14.96,14.9,15.0,14.9,23.4,23.9,22.1,22.5,18.0,23.3
2022-06-01 00:30:00,0.0,0.0,762618.2,972.0,35.0,0.51,0.0,14.84,14.7,14.96,14.8,14.9,14.9,23.3,23.8,22.0,22.5,18.0,23.3
2022-06-01 00:35:00,0.0,0.0,,972.0,35.0,0.51,,14.84,14.6,14.9,14.8,14.8,14.8,23.2,23.7,21.8,22.5,18.0,23.3
2022-06-01 00:40:00,0.0,0.0,,977.0,36.0,0.51,,14.78,14.6,14.84,14.7,14.8,14.7,23.1,23.6,21.8,22.5,18.0,23.3
2022-06-01 00:45:00,0.0,0.0,762618.39,980.0,36.0,0.51,4.0,14.84,14.5,14.84,14.7,14.8,14.7,23.0,23.5,21.7,22.5,18.0,23.3
2022-06-01 00:50:00,0.0,0.0,,975.0,36.0,0.51,,14.78,14.5,14.78,14.7,14.7,14.6,22.8,23.4,21.7,22.5,18.0,23.3
2022-06-01 00:55:00,0.0,0.0,,977.0,36.0,0.51,,14.72,14.5,14.78,14.6,14.7,14.6,22.7,23.3,21.7,22.5,18.0,23.3
2022-06-01 01:00:00,0.0,0.0,762618.51,977.0,36.0,0.51,4.0,14.59,14.4,14.72,14.6,14.7,14.6,22.4,23.2,21.6,22.5,18.0,23.3
2022-06-01 01:05:00,0.0,0.0,,972.0,36.0,0.51,,14.53,14.4,14.66,14.5,14.6,14.5,22.3,23.2,21.5,22.5,18.0,23.3
2022-06-01 01:10:00,0.0,0.0,,972.0,36.0,0.51,,14.47,14.3,14.66,14.5,14.5,14.5,22.3,23.1,21.4,22.5,18.0,23.3
2022-06-01 01:15:00,0.0,0.0,762618.72,975.0,36.0,0.51,4.0,14.41,14.3,14.59,14.5,14.5,14.4,22.2,23.0,21.4,22.5,18.0,23.3
2022-06-01 01:20:00,0.0,0.0,,972.0,36.0,0.51,,14.41,14.2,14.59,14.4,14.5,14.4,22.1,22.9,21.3,22.5,18.0,23.3
2022-06-01 01:25:00,0.0,0.0,,977.0,36.0,0.51,,14.35,14.2,14.53,14.4,14.4,14.4,22.1,22.8,21.3,22.5,18.0,23.3
2022-06-01 01:30:00,0.0,0.0,762618.91,977.0,36.0,0.51,4.0,14.29,14.2,14.47,14.3,14.4,14.4,21.8,22.7,21.3,22.5,18.0,23.3
2022-06-01 01:35:00,0.0,0.0,,975.0,36.0,0.51,,14.29,14.2,14.41,14.3,14.3,14.3,21.8,22.6,21.3,22.5,18.0,23.3
2022-06-01 01:40:00,0.0,0.0,,972.0,36.0,0.51,,14.22,14.1,14.41,14.3,14.3,14.3,21.7,22.5,21.2,22.5,18.0,23.3
2022-06-01 01:45:00,0.0,0.0,762619.1,975.0,36.0,0.51,0.0,14.16,14.1,14.35,14.2,14.2,14.3,21.7,22.5,21.2,22.5,18.0,23.3
2022-06-01 01:50:00,0.0,0.0,,972.0,36.0,0.51,,14.1,14.1,14.29,14.2,14.2,14.2,21.7,22.4,21.1,22.5,18.0,23.3
2022-06-01 01:55:00,0.0,0.0,,977.0,36.0,0.51,,14.1,14.0,14.29,14.2,14.1,14.1,21.7,22.3,20.7,22.5,18.0,23.3
2022-06-01 02:00:00,0.0,0.0,762619.31,977.0,36.0,0.51,4.0,14.04,14.0,14.22,14.1,14.1,14.1,21.7,22.2,20.6,22.5,18.0,23.3
2022-06-01 02:05:00,0.0,0.0,,975.0,36.0,0.51,,14.04,14.0,14.16,14.1,14.1,14.1,21.6,22.1,20.6,22.5,18.0,23.3
2022-06-01 02:10:00,0.0,0.0,,975.0,36.0,0.51,,13.98,14.0,14.16,14.1,14.0,14.0,21.6,22.0,20.5,22.5,18.0,23.3
